time,seconds_elapsed,z,y,x,a,ave,std
1.64617E+18,14.44540063,-0.287935483,-1.167479599,0.186074506,1.216774087,1.980279416,0.40051266
1.64617E+18,14.45538159,-0.70830083,-1.275374156,0.223722758,1.475913675,2.154530693,0.409387839
1.64617E+18,14.46536377,-1.008196215,-1.324732938,0.239721999,1.681916645,2.334603001,0.463715928
1.64617E+18,14.47534473,-1.205153204,-1.434953893,0.315293957,1.90023609,2.516774359,0.525270002
1.64617E+18,14.48532666,-1.306155079,-1.542380833,0.392568189,2.058904929,2.680536467,0.561551079
1.64617E+18,14.49530762,-1.424539466,-1.535777489,0.371490914,2.127423486,2.815469521,0.5580723
1.64617E+18,14.50528955,-1.537049993,-1.450668179,0.283085705,2.132392639,2.930714012,0.52190928
1.64617E+18,14.51527075,-1.708454608,-1.397162215,0.135046695,2.211134779,3.061096967,0.466059794
1.64617E+18,14.52525269,-1.876290716,-1.460375334,-0.079345924,2.378961694,3.239498634,0.447645822
1.64617E+18,14.53523389,-2.127164004,-1.482991071,-0.368489979,2.619136132,3.442780074,0.47162962
1.64617E+18,14.54521606,-2.460435005,-1.517075711,-0.63412902,2.959286863,3.617171604,0.457026363
1.64617E+18,14.55519702,-2.73156899,-1.651436251,-0.74002539,3.276636754,3.701228852,0.402322909
1.64617E+18,14.5651792,-2.900177252,-1.804831161,-0.779089938,3.503630224,3.649643849,0.479184729
1.64617E+18,14.57516016,-2.921368508,-1.802661416,-0.855833643,3.537857172,3.48005137,0.733483546
1.64617E+18,14.58514209,-2.815914914,-1.655647147,-0.972380951,3.408235466,3.27205556,0.950427112
1.64617E+18,14.59512305,-2.818752768,-1.245027533,-1.123421554,3.279868399,3.122007394,1.032024551
1.64617E+18,14.60510498,-3.171993375,-0.603630495,-1.175462122,3.436222191,3.032862291,1.052830113
1.64617E+18,14.61508618,-3.831853122,-0.021476503,-1.130343097,3.995151449,2.964404713,1.046615079
1.64617E+18,14.62506787,-4.277753892,0.341812327,-1.023598659,4.411776087,2.867845778,0.990080886
1.64617E+18,14.63504907,-4.21841206,0.618121669,-0.926899741,4.363051437,2.737005653,0.854585476
1.64617E+18,14.64503101,-3.611051731,0.779548495,-0.889685644,3.79985934,2.591896032,0.669266599
1.64617E+18,14.65501221,-2.464213939,0.847398919,-0.911870661,2.760786729,2.462598315,0.534794429
1.64617E+18,14.66499414,-1.10268827,0.971955273,-1.052226422,1.807705429,2.39443649,0.535881757
1.64617E+18,14.6749751,0.209347099,0.970955156,-1.067187698,1.457899073,2.392082307,0.538499472
1.64617E+18,14.68495703,1.211396482,0.923440541,-1.148608163,1.907753805,2.415231439,0.501551155
1.64617E+18,14.69493799,1.910618518,0.824312058,-1.172426554,2.388417366,2.39423226,0.526151572
1.64617E+18,14.70492017,2.374676291,0.740377637,-1.176567672,2.75164642,2.325389259,0.56594199
1.64617E+18,14.71490112,2.657124867,0.782654937,-1.226941403,3.029562099,2.219548567,0.575221608
1.64617E+18,14.72488306,2.708701325,0.952164531,-1.177817964,3.103374827,2.088063993,0.522938877
1.64617E+18,14.73486401,2.41613526,1.226105391,-1.066976686,2.911955231,1.955504503,0.403032334
1.64617E+18,14.74484619,1.794084726,1.467357448,-0.9552907,2.506882169,1.857420208,0.247778594
1.64617E+18,14.75482715,1.175931785,1.545502764,-0.742662241,2.079168479,1.825806454,0.171246125
1.64617E+18,14.76480908,0.717087363,1.557732716,-0.492437042,1.784163597,1.858881901,0.236497837
1.64617E+18,14.77479004,0.412346291,1.619514341,-0.247353461,1.689390393,1.945222156,0.331844221
1.64617E+18,14.78477197,0.360104647,1.658427133,0.04837326,1.697762022,2.054869806,0.402767115
1.64617E+18,14.79475415,0.465012298,1.618203259,0.234816472,1.699987353,2.170146369,0.446639907
1.64617E+18,14.80473511,0.594173515,1.554973773,0.309958733,1.693239503,2.274739047,0.446758861
1.64617E+18,14.81471631,0.777529849,1.487720437,0.349839127,1.714716356,2.359261627,0.406927998
