seconds_elapsed,z,y,x,a,ave,std
23.50259204,-3.107437608,0.6241817,2.221398431,2.307425792,6.085860057,1.865538272
23.51257495,-3.537012097,1.014508467,3.004659955,3.171310277,6.584139607,1.396188592
23.52255811,-2.900406969,1.857498922,4.802409634,5.149120365,6.858587162,0.868303172
23.53254102,-1.726004439,2.354924127,6.786874309,7.183824227,6.773757502,1.052968194
23.54252393,-1.098494325,2.234640044,7.547973247,7.87181785,6.421152181,1.392312182
23.55250708,-1.680771505,1.906753659,6.929688789,7.187231471,6.00377293,1.515066552
23.56248975,-2.815982134,2.188469244,5.958391687,6.347584511,5.635304937,1.626410597
23.57247217,-3.239437848,3.119009388,5.441493135,6.272006624,5.396138443,1.679080141
23.58245508,-2.742420055,3.924724298,6.126582016,7.275882627,5.218593949,1.670927108
23.59243774,-2.820240961,4.135322858,6.956003964,8.09239682,5.119562405,1.572510627
23.6024209,-3.219207546,3.128533588,6.584801,7.290221301,5.171439081,1.674948331
23.61240405,-3.527927458,1.535897316,5.712927565,5.915785825,5.351341164,1.964454483
23.62238696,-4.520678266,0.643556262,4.252401716,4.30082376,5.608383019,2.1780468
23.63236987,-4.794719664,1.381861185,3.386701709,3.657771015,5.939525582,2.205631289
23.64235181,-3.101404173,2.858565139,2.346059853,3.698025349,6.321748902,2.106034608
23.65233521,-0.563570287,3.496677749,0.202760981,3.50255154,6.627145529,1.916307131
23.66231787,0.819578015,3.342096259,-2.116528336,3.955919564,6.795134176,1.696001786
23.67230103,1.427557937,3.222403127,-3.136109868,4.496561688,6.813680555,1.66559403
23.68228394,1.5809131,4.973611419,-3.843376678,6.285567185,6.542468906,2.166348208
23.69226709,2.516773562,7.321483874,-4.532991512,8.611163578,6.234627949,2.388331802
23.70225,3.360072645,7.803710342,-4.660088783,9.089242133,5.818244355,2.299000995
23.71223291,4.869138653,6.96594259,-4.846783321,8.486204377,5.268863772,2.099459804
23.72221509,5.164637849,5.838721936,-4.884226332,7.612249385,4.511408984,2.167346575
23.732198,4.840853639,5.797614265,-4.726323296,7.480004216,4.03258121,1.947135973
23.74218091,3.706100251,5.385765987,-4.072212614,6.75199162,3.726615514,1.588800555
23.75216406,1.989976132,4.7051411,-2.172397523,5.182438014,3.607845987,1.390179136
23.76214697,-0.038213411,3.890072671,-1.420700765,4.14138335,3.68441815,1.492148628
23.77212988,0.180613465,1.782118394,-0.091097152,1.784445197,3.951194165,1.7637594
23.78211304,-0.139694302,0.122891051,3.204802296,3.207157615,4.749946193,2.321960417
23.79209497,0.200121883,-0.182662506,4.443574861,4.44732764,5.303163339,2.537508401
23.80207788,1.438660346,-0.26265608,3.585829612,3.595436305,5.50162201,2.540418361
23.81206104,2.316274517,-0.781855895,0.468848515,0.911656498,5.855501579,2.49633368
23.82204395,4.105839574,-1.476827288,-2.407030747,2.823971645,6.560991845,1.932734157
23.8320271,5.13950107,-2.608701904,-3.568493277,4.42034726,7.109201523,1.530661524
23.84200977,4.608306281,-3.734479374,-4.124931228,5.564296346,7.508122456,1.276669649
23.85199316,3.351163362,-4.105811517,-4.303825614,5.948159642,7.793751433,1.119693922
23.86197607,2.333935408,-5.196055316,-4.400618639,6.809143504,8.009201443,0.936064796
23.87195801,1.736143994,-8.968090805,-3.881321501,9.771965477,8.102057105,0.854957612
23.88194092,2.597337338,-7.666514871,-4.195285744,8.739329078,7.800660459,0.736140202
23.89192407,2.930719397,-3.424897292,-5.444226359,6.431914342,7.524898348,0.841787736
23.90190723,2.616175894,-2.703074133,-6.602322044,7.134231993,7.339954249,1.19194268
23.91188989,4.838547115,-3.175529732,-7.306303841,7.966559163,6.882765157,1.868162759
23.9218728,6.249595816,-3.110388275,-7.701704842,8.306068426,6.159882308,2.574132166
23.9318562,5.916909338,-3.808187584,-7.497889658,8.409556587,5.840874232,2.484502038
23.94183789,4.692335394,-4.251616411,-7.268426822,8.420586118,6.329092671,3.290307244
23.95182104,3.725402333,-4.431259277,-6.783585789,8.102659744,7.446510622,5.170867655
23.96180396,3.097262251,-5.015187292,-5.892359418,7.737700116,8.487580764,6.152926961
23.97178711,2.551123576,-4.572403777,-4.976311326,6.757999017,8.944854561,6.249368174
23.98177002,1.640293802,-4.428512608,-4.021082731,5.981707971,8.935618049,6.252660892
23.99175293,0.325125104,-4.040969335,-2.160932418,4.582473358,8.597522005,6.490143239
24.00173584,-2.237142966,-2.468156539,-0.688327717,2.562341067,8.322299299,6.709228883
24.01171777,-5.642734085,-0.355973831,0.646164984,0.737730679,8.406956504,6.641009702
24.02170093,-8.575725226,2.617257551,4.395826729,5.115987658,8.763060208,6.307314725
24.03168359,-11.398745,7.837179481,10.73540852,13.29174098,8.749656869,6.315188183
24.04166626,-12.05369827,13.37217274,14.32270353,19.59476563,8.11182706,6.144012556
24.05164941,-7.998692231,12.90224519,13.27692022,18.51336116,6.949284476,4.818052249
24.06163257,-3.109503308,7.933760617,9.412880984,12.31043809,5.768867683,2.907442362
24.07161548,-0.042345104,3.733872055,5.521673171,6.665633889,5.193543377,1.976146425
24.08159741,0.273603152,1.38674545,2.200187447,2.600747536,5.660527487,2.691227949
24.09158032,-1.125232841,1.746836653,0.546226354,1.830246301,6.972900453,3.835683527
24.10156372,-1.081317419,3.287853212,0.900394304,3.408913118,8.412811697,4.308437833
24.11154639,0.7553281,4.013883175,1.538878086,4.298767719,9.489452955,4.268516935
24.1215293,0.176182496,4.530523953,2.072250218,4.981954261,9.95057729,3.91750624
24.1315127,0.178292036,5.858356611,3.670878716,6.9134429,9.937134341,3.934725841
24.14149561,2.715935368,7.480249372,2.748862655,7.969339782,9.471490022,4.499935401
24.15147754,2.663746915,6.492362955,-1.691891595,6.709193238,8.997536198,4.867751879
24.16146045,0.59485273,2.708347105,-5.97173866,6.55719503,8.911442842,4.914848848
24.17144336,1.838187634,-2.837709398,-10.97453409,11.33547498,8.913291618,4.913966322
24.18142651,3.768026838,-6.755230632,-14.19950853,15.7244772,8.145622271,5.072675744
24.19140942,2.252840886,-7.45624072,-14.41515034,16.22935874,6.671188869,4.790468682
24.20139258,-0.096624099,-4.124893819,-13.56189919,14.1753257,5.092901122,3.898260551
24.21137573,0.158477913,0.933627588,-8.860961387,8.910011065,3.753002162,2.648647929
24.2213584,3.327407224,3.10460443,-3.722892396,4.847524777,3.006643316,2.081067314
24.23134058,4.919506904,2.226726786,0.368422978,2.256999706,2.718858695,2.004162246
24.24132349,7.245890581,1.234603755,2.984522007,3.229801548,2.706279123,2.007413883
24.2513064,11.36184297,-0.014828151,5.848240875,5.848259673,2.564043759,2.015654182
