a,ave,std,class
5.323159523,4.729536652,0.426637571,1
5.185294577,4.574291187,0.463266112,1
5.19008864,4.398333978,0.52748748,1
5.10349547,4.26692797,0.474940263,1
4.793445398,4.252275996,0.450539284,1
4.627446493,4.33708277,0.599587365,1
4.444639618,4.459095218,0.751228542,1
4.197796535,4.580468987,0.832718192,1
4.225563852,4.709257261,0.862629651,1
4.204436414,4.839430486,0.877899578,1
3.770704869,5.001875361,0.895488493,1
3.425722491,5.186900689,0.808958306,1
3.876028559,5.305759331,0.602409689,1
4.956975731,5.219046557,0.823723996,1
5.641513137,4.885989832,1.360673056,1
5.847570971,4.446508906,1.710452092,1
5.658377308,4.083092143,1.759532088,1
5.485679275,3.920323083,1.679756441,1
5.527296106,3.792569803,1.60265749,1
5.828885163,3.50500797,1.521530529,1
5.620958153,2.984986119,1.527064452,1
4.614308909,2.607767832,1.274321331,1
3.008900821,2.478773239,1.120707544,1
1.626408476,2.556896447,1.180569801,1
1.246703881,2.751571509,1.1715566,1
2.213403343,3.017655837,1.09950412,1
4.030686698,3.240080656,1.138592588,1
4.20814648,3.331521949,1.231354843,1
2.651677774,3.475077638,1.397640064,1
0.628666656,3.898512356,1.694036072,1
1.848775282,4.630604718,1.704621109,1
3.324362972,5.312790723,1.816227578,1
3.790132907,5.883539,1.990146114,1
3.573159097,6.41299144,2.065633704,1
3.907547155,6.921304571,1.924898598,1
4.437651542,7.295533104,1.646204585,1
4.945099629,7.527352433,1.366977313,1
5.643703368,7.607722885,1.229507223,1
6.886024951,7.441740927,1.5529397,1
7.949590273,6.938508706,2.291312746,1
8.670635334,6.510025355,2.456833877,1
9.031845746,6.50862253,2.455603488,1
9.0846573,6.927331628,3.117825734,1
8.656290406,7.483584527,3.860781036,1
7.649832487,7.853434041,4.1236122,1
6.755844836,7.98158573,4.135190384,1
5.748804145,7.912607941,4.160735358,1
3.983883792,7.788978474,4.240789637,1
1.853702738,7.780532557,4.248436628,1
3.664756768,8.083999984,3.909072333,1
8.656607078,8.497356588,3.628384338,1
13.21893673,8.607008471,3.648055503,1
14.64718629,8.394823005,3.428752646,1
12.35478555,7.986735696,2.855195574,1
8.931349381,7.327311636,2.510957636,1
6.066066943,7.035201468,2.477045,1
4.512509475,7.73751903,3.035411201,1
3.899424621,9.031976785,3.993123066,1
4.888377007,10.55766517,4.607950396,1
7.798322813,11.79421922,4.579742087,1
9.753125908,12.00411091,4.437692797,1
11.09708206,11.50500416,4.917524676,1
10.56631321,10.84370484,5.353262296,1
5.760544941,10.35890819,5.571501091,1
6.010247703,10.44222074,5.50798425,1
13.08924256,10.45393494,5.498662702,1
17.45708703,9.811390813,5.528512931,1
19.1563085,8.622082265,5.010824773,1
17.25391746,7.108059134,3.720300379,1
9.897239754,5.731732005,1.720779501,1
4.762058386,5.029765758,1.244106072,1
4.484088909,4.789818503,1.481365377,1
5.718346702,4.539314679,1.70657134,1
6.593670447,4.09943681,1.901725113,1
6.127389647,3.535838402,1.91411982,1
6.663801304,3.021630728,1.838028672,1
5.564001549,2.503720548,1.42119441,1
4.016077188,2.136477507,0.992908258,1
3.490646165,1.970120162,0.780749179,1
2.87757728,1.866986511,0.625830195,1
2.362585843,1.80199962,0.546189338,1
1.979050667,1.769086713,0.520740899,1
1.319568014,1.748310378,0.516073082,1
0.957686359,1.746068097,0.517976252,1
0.985312907,1.773655163,0.481300878,1
1.484699508,1.862866183,0.403262144,1
1.891571141,1.906943425,0.383103769,1
2.352503736,1.888024885,0.388035231,1
2.459309653,1.812617764,0.362901391,1
2.227708374,1.690770376,0.32821191,1
2.033456771,1.694551674,0.334533087,1
1.771287317,1.828352102,0.603097564,1
1.297145204,2.087651132,0.969152655,1
1.233557021,2.403627194,1.156833096,1
1.87742311,2.670491625,1.163921051,1
1.92547192,2.84895631,1.165456804,1
1.702385748,3.039188961,1.154396789,1
1.598432522,3.281983481,1.10183373,1
1.240835777,3.565656874,0.991521906,1
2.265521348,3.931731621,0.697922332,1
3.371461052,4.292086287,0.674493632,1
4.364277621,4.679229571,1.044525348,1
4.456905819,5.061028547,1.470534142,1
3.902201335,5.416877804,1.694749438,1
3.662069956,5.741872259,1.684709267,1
3.827798429,6.014778613,1.54057252,1
4.130330948,6.254102515,1.357222825,1
4.43516646,6.461349769,1.16117396,1
4.901583241,6.625395766,0.962159158,1
5.869068015,6.731812744,0.812887179,1
7.242893885,6.715405479,0.831576161,1
8.182267386,6.554607366,0.868668481,1
8.015398387,6.312719383,0.702673679,1
7.152145885,6.025832772,0.507478106,1
6.391133493,5.710979737,0.663686467,1
6.221037453,5.546225059,0.678719114,1
6.202803487,5.715856376,0.973946262,1
6.075626431,6.19969329,1.877940555,1
5.965753014,6.900868312,2.788815746,1
5.704995373,7.791483538,3.640136913,1
